case,GPU_NO,Runtime
case23,2,2314.79
case23,2,2313.89
case23,2,2314.56
case23,2,2315.12
case23,2,2315
case23,2,2315.39
case23,2,2315.79
case23,2,2314.42
case23,2,2315.26
case23,2,2212.59
case23,2,2220.59
case23,2,2224.78
case23,2,2228.52
case23,2,2225.08
case23,2,2235.54
case23,2,2238.32
case23,2,2241.89
case23,2,2244.02
case23,2,2246.85
case23,2,2246.14
case23,2,2247.72
case23,2,2258.34
case23,2,2261.41
case23,2,2260.17
case23,2,2266.56
case23,2,2265.17
case23,2,2269.34
case23,2,2283.4
case23,2,2269.52
case23,2,2283.1
case23,2,2289.8
case23,2,2283.76
case23,2,2289.07
case23,2,2287.05
case23,2,2290.3
case23,2,2290.83
case23,2,2288.42
case23,2,2288.82
case23,2,2289.15
case23,2,2292.16
case23,2,2291.37
case23,2,2297.43
case23,2,2297.85
case23,2,2305.29
case23,2,2305.77
case23,2,2310.1
case23,2,2309.77
case23,2,2309.9
case23,2,2309.93
case23,2,2310.4
case23,2,2311.23
case23,2,2310.51
case23,2,2311.98
case23,2,2312.24
case23,2,2312.72
case23,2,2313.43
case23,2,2313.42
case23,2,2313.79
case23,2,2314.63
case23,2,2314.74
case23,2,2314.33
case23,2,2314.54
case23,2,2314.8
case23,2,2315.1
case23,2,2315.25
case23,2,2312.16
case23,2,2312.47
case23,2,2312.15
case23,2,2311.69
case23,2,2311.76
case23,2,2309.9
case23,2,2310.03
case23,2,2310.9
case23,2,2311.23
case23,2,2309.52
case23,2,2306.65
case23,2,2306.76
case23,2,2308.08
case23,2,2307.5
case23,2,2306.31
case23,2,2305.8
case23,2,2306.07
case23,2,2302.63
case23,2,2305.3
case23,2,2304.5
case23,2,2306.56
case23,2,2305.65
case23,2,2304.65
case23,2,2305.7
case23,2,2305.36
case23,2,2304.67
case23,2,2305.5
case23,2,2303.72
case23,2,2305.49
case23,2,2305.19
case23,2,2304.94
case23,2,2303
case23,2,2303.49
case23,2,2304.5
case23,2,2304.07
case23,2,2304.9
case23,2,2302.89
case23,2,2304.31
case23,2,2305.36
case23,2,2304.71
case23,2,2301.07
case23,2,2303.68
case23,2,2303.87
case23,2,2301.06
case10,1,2237.53
case10,1,2242.57
case10,1,2243.73
case10,1,2243.11
case10,1,2243.58
case10,1,2245.73
case10,1,2257.98
case10,1,2258.49
case10,1,2258.28
case10,1,2260.64
case10,1,2259.52
case10,1,2261.32
case10,1,2262.75
case10,1,2263.51
case10,1,2265.13
case10,1,2265.24
case10,1,2265.46
case10,1,2264.35
case10,1,2265.44
case10,1,2265.53
case10,1,2265.48
case10,1,2265.23
case10,1,2265.76
case10,1,2265.13
case10,1,2265.51
case10,1,2264.86
case10,1,2267.1
case10,1,2266.68
case10,1,2273.91
case10,1,2277.16
case10,1,2283.07
case10,1,2271.98
case10,1,2274.65
case10,1,2273
case10,1,2275.9
case10,1,2274.59
case10,1,2274.53
case10,1,2277.39
case10,1,2275.51
case10,1,2277.54
